"name","Col","IncA_C","IncB","IncFIA","IncFIB","IncFIC","IncFII","IncHI1","IncHI2","IncI1","IncI2","IncL","IncN","IncR","IncX1","IncX2","IncX3","IncX4","IncY"
"28099_1_2",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_200",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_203",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_204",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_205",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_208",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_209",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_212",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"28099_1_214",1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"28099_1_216",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"28099_1_217",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_218",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_22",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_220",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_221",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_224",0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"28099_1_225",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_226",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_228",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_23",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_230",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_232",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_233",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_234",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_236",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_237",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_240",1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"28099_1_241",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"28099_1_244",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_245",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_246",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_248",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_249",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_250",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_252",1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"28099_1_253",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"28099_1_254",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_256",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28099_1_258",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
